Treatment,Age,DSI
Water,8,33.33333333
Water,8,25
Water,8,33.33333333
Water,8,62.5
Water,8,37.5
Water,8,50
20,8,62.5
20,8,50
20,8,58.33333333
20,8,70.83333333
20,8,66.66666667
20,8,45.83333333
20,8,54.16666667
20,8,66.66666667
50,8,50
50,8,62.5
50,8,41.66666667
50,8,54.16666667
50,8,45.83333333
50,8,66.66666667
50,8,54.16666667
50,8,50
100,8,50
100,8,35
100,8,66.66666667
100,8,62.5
100,8,37.5
100,8,25
100,8,58.33333333
100,8,50
500,8,41.66666667
500,8,37.5
500,8,50
500,8,62.5
500,8,58.33333333
500,8,54.16666667
500,8,37.5
500,8,41.66666667
