Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Pepper,,WT,WT,WT,17,Fruit,ABA,spray,1000,Fungus,Hemibiotroph,C. acutatum,N/A,-388.8888889,Susceptible,Hwang et al 2008
Arabidopsis,,aba1-3,ABA,ABA deficient,5,Leaves,ABA,soil drench,25,Fungus,Hemibiotroph,L. maculans,N/A,50.16286645,Resistant,Kallif et al 2007
Arabidopsis,,pmr4-1,OTHER,callose,5,Leaves,ABA,soil drench,25,Fungus,Hemibiotroph,L. maculans,N/A,91.47810755,Resistant,Kallif et al 2007
Arabidopsis,,abi1-1,ABA,ABA insensitive,5,Leaves,ABA,soil drench,25,Fungus,Hemibiotroph,L. maculans,N/A,47.17948718,Resistant,Kallif et al 2007
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,250,Fungus,Biotrophic,O. neolycopersici,N/A,-2.975206612,Susceptible,Achuo et al 2006
Arabidopsis,,aao3,ABA,ABA deficient,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000 hrpA-,N/A,-2.631578947,Susceptible,de Torres-Zabala 2007
Arabidopsis,,pmr4pad3,OTHER,callose production,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,-0.744416848,Susceptible,Oide et al 2013
Grapes,Beta,,WT,WT,52,Fruit,ABA,spray,50,Fungus,Biotrophic,P. viticola,N/A,-40,Susceptible,Liu et al 2020
Grapes,Summer Black,,WT,WT,52,Fruit,ABA,spray,50,Fungus,Biotrophic,P. viticola,N/A,-33.33333333,Susceptible,Liu et al 2020
Grapes,Kyoho,,WT,WT,52,Fruit,ABA,spray,50,Fungus,Biotrophic,P. viticola,N/A,-65.2173913,Susceptible,Liu et al 2020
Grapes,Centennial Seedless,,WT,WT,52,Fruit,ABA,spray,50,Fungus,Biotrophic,P. viticola,N/A,-66.66666667,Susceptible,Liu et al 2020
Arabidopsis,,pr2-1,OTHER,callose production,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,-0.496278015,Susceptible,Oide et al 2013
Tomato,Money Maker,WT,WT,WT,3,Leaves,N/A,N/A,0,Fungus,Biotrophic,O. neolycopersici,N/A,0,Susceptible,Achuo et al 2006
Rice,,CO39,WT,WT,5,Leaves,ABA,spray,50,Fungus,Necrotrophic,C. miyabeanus,N/A,42.5,Resistant,De Vleesschauwer 2010
Rice,,CO40,WT,WT,5,Leaves,ABA,spray,100,Fungus,Necrotrophic,C. miyabeanus,N/A,35.71428571,Resistant,De Vleesschauwer 2010
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,N/A,N/A,0,Fungus,Biotrophic,O. neolycopersici,N/A,0,Susceptible,Achuo et al 2006
