Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Arabidopsis,,aba1-1/cds2-1D,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,7.936507937,Resistant,Fan et al 2009
Arabidopsis,,aba2-1,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,7.936507937,Resistant,Fan et al 2009
Arabidopsis,,aba2-1/cds2-1D,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae,N/A,9.523809524,Resistant,Fan et al 2009
Arabidopsis,,aba3-1,ABA,ABA deficient,3,Leaves,N/A,N/A,0,Oomycete,Biotrophic,H. arabidopsis,N/A,66.66666667,Resistant,Fan et al 2009
Arabidopsis,Col-0,Col-0,WT,WT,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-33.33333333,Susceptible,Berens et al 2019
Arabidopsis,Col-0,35S::miR156a,OTHER,OTHER,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-32.35294118,Susceptible,Berens et al 2019
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,750,Fungus,Biotrophic,O. neolycopersici,N/A,-32.11517165,Susceptible,Achuo et al 2006
Arabidopsis,,Col-2,WT,WT,5,Leaves,ABA,spray,150,Fungus,Necrotrophic,B. cinerea,N/A,-28.88888889,Susceptible,Hailer et al 2021
Arabidopsis,,aba2-1,ABA,ABA,4,Leaves,ABA,spray,50,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-27.86885246,Susceptible,Tan et al 2019
Tomato,Money Maker,WT,WT,WT,4,Leaves,ABA,spray,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-27.50316857,Susceptible,Asselbergh et al 2008
Arabidopsis,,abi1-sup7,ABA,ABA insensitive,5.5,Leaves,N/A,N/A,0,Bacterium,Hemibiotroph,P. syringae DC3000,N/A,-27.08333333,Susceptible,de Torres-Zabala 2007
Arabidopsis,,NahG-pmr4-1,OTHER,SA/callose,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-26.31578947,Susceptible,Flors et al 2007
Arabidopsis,,sid2-1-pmr4-1,OTHER,SA/callose,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,20,Resistant,Flors et al 2007
Arabidopsis,,NahG,OTHER,SA,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,21.875,Resistant,Flors et al 2007
